,ExtractMethod,InlineMethod,MoveMethod,RenameMethod
2787,1,0,0,0
697,0,0,0,1
1537,0,0,0,1
3864,0,1,0,0
1784,0,0,0,1
3969,1,0,0,0
1964,1,0,0,0
1037,0,0,0,1
208,1,0,0,0
3102,1,0,0,0
565,1,0,0,0
313,0,0,0,1
601,1,0,0,0
233,1,0,0,0
3952,0,1,0,0
931,1,0,0,0
3228,1,0,0,0
1491,1,0,0,0
111,0,0,0,1
2356,1,0,0,0
1089,0,0,0,1
2750,0,1,0,0
2189,1,0,0,0
2813,1,0,0,0
2354,1,0,0,0
472,1,0,0,0
2102,0,0,0,1
1578,1,0,0,0
1356,1,0,0,0
1392,0,1,0,0
2334,1,0,0,0
3263,0,0,0,1
361,1,0,0,0
135,1,0,0,0
1134,1,0,0,0
1151,1,0,0,0
2475,0,0,0,1
1053,0,0,0,1
3344,1,0,0,0
22,1,0,0,0
3833,0,0,0,1
2533,0,0,0,1
3526,0,0,1,0
695,0,0,0,1
420,0,0,0,1
2250,1,0,0,0
460,0,0,0,1
1067,0,0,0,1
87,0,0,1,0
282,1,0,0,0
1340,1,0,0,0
1320,0,1,0,0
1414,1,0,0,0
3802,1,0,0,0
3150,0,0,1,0
859,1,0,0,0
533,0,0,0,1
3711,1,0,0,0
2810,1,0,0,0
1426,1,0,0,0
3126,0,0,0,1
3176,1,0,0,0
3321,0,0,0,1
2757,1,0,0,0
3946,1,0,0,0
1600,1,0,0,0
1651,1,0,0,0
1419,1,0,0,0
3916,1,0,0,0
1309,0,0,0,1
942,0,1,0,0
2258,1,0,0,0
3851,1,0,0,0
1859,0,0,0,1
2221,0,0,0,1
3922,0,0,1,0
121,0,0,0,1
887,1,0,0,0
3598,0,0,0,1
685,1,0,0,0
1612,1,0,0,0
413,1,0,0,0
789,0,0,1,0
2195,0,1,0,0
3954,0,0,0,1
1480,1,0,0,0
3917,1,0,0,0
1728,0,0,1,0
2144,0,0,0,1
272,1,0,0,0
2063,0,0,0,1
521,1,0,0,0
522,1,0,0,0
2720,0,1,0,0
3604,1,0,0,0
350,0,0,0,1
1878,1,0,0,0
2367,1,0,0,0
3114,1,0,0,0
1553,1,0,0,0
651,1,0,0,0
1456,1,0,0,0
3450,0,1,0,0
3708,1,0,0,0
2225,0,0,0,1
1960,1,0,0,0
2118,1,0,0,0
1940,1,0,0,0
168,1,0,0,0
3714,1,0,0,0
962,1,0,0,0
945,1,0,0,0
462,1,0,0,0
2447,1,0,0,0
328,1,0,0,0
1844,1,0,0,0
2357,0,1,0,0
3004,1,0,0,0
1718,1,0,0,0
367,1,0,0,0
3918,1,0,0,0
3022,0,0,0,1
3113,1,0,0,0
1749,1,0,0,0
772,1,0,0,0
1284,0,0,1,0
2543,1,0,0,0
3586,1,0,0,0
3387,1,0,0,0
498,1,0,0,0
1234,1,0,0,0
3232,0,0,0,1
435,1,0,0,0
1251,1,0,0,0
365,0,0,0,1
1373,1,0,0,0
276,0,0,0,1
2647,1,0,0,0
2742,1,0,0,0
2534,1,0,0,0
407,1,0,0,0
1731,0,0,0,1
2078,1,0,0,0
2457,1,0,0,0
844,1,0,0,0
2833,1,0,0,0
1444,1,0,0,0
86,1,0,0,0
1550,0,0,0,1
3554,0,0,0,1
1688,1,0,0,0
3934,1,0,0,0
2377,0,0,0,1
855,1,0,0,0
2862,1,0,0,0
78,0,0,0,1
944,1,0,0,0
199,1,0,0,0
3000,1,0,0,0
1623,0,0,0,1
801,0,0,0,1
2412,0,0,0,1
1778,1,0,0,0
2663,1,0,0,0
1775,1,0,0,0
231,1,0,0,0
1413,1,0,0,0
2011,1,0,0,0
2943,0,0,0,1
2230,0,1,0,0
2254,0,0,0,1
2846,1,0,0,0
1915,1,0,0,0
3662,1,0,0,0
3825,0,0,1,0
1143,1,0,0,0
3567,1,0,0,0
191,1,0,0,0
104,1,0,0,0
3395,0,0,0,1
1850,0,1,0,0
1391,1,0,0,0
3660,0,1,0,0
2812,1,0,0,0
2233,0,0,0,1
2631,0,0,0,1
3505,1,0,0,0
3053,0,0,1,0
2414,0,1,0,0
1425,0,0,0,1
1808,0,0,0,1
2425,0,0,0,1
1922,1,0,0,0
3909,1,0,0,0
2171,1,0,0,0
1652,1,0,0,0
3364,1,0,0,0
994,0,0,0,1
464,1,0,0,0
1506,0,0,0,1
1476,0,0,0,1
3210,0,1,0,0
3064,1,0,0,0
1236,0,0,0,1
2436,0,1,0,0
1689,1,0,0,0
212,1,0,0,0
1036,0,0,0,1
3876,1,0,0,0
900,0,0,0,1
1760,0,0,0,1
2194,1,0,0,0
741,0,0,0,1
3518,1,0,0,0
3097,1,0,0,0
3769,1,0,0,0
1206,1,0,0,0
509,0,0,0,1
597,1,0,0,0
3713,1,0,0,0
981,1,0,0,0
2077,1,0,0,0
3524,0,0,1,0
518,1,0,0,0
1830,0,0,0,1
767,1,0,0,0
2644,1,0,0,0
2751,0,0,0,1
421,0,0,0,1
123,0,0,0,1
2749,1,0,0,0
2266,0,0,0,1
1807,1,0,0,0
819,1,0,0,0
1403,1,0,0,0
1382,1,0,0,0
100,0,1,0,0
3521,1,0,0,0
1283,1,0,0,0
3697,1,0,0,0
3663,1,0,0,0
3498,0,0,0,1
1103,0,0,0,1
1924,1,0,0,0
2941,1,0,0,0
3194,1,0,0,0
2495,0,0,0,1
1352,1,0,0,0
1602,1,0,0,0
3797,1,0,0,0
3084,0,0,0,1
982,1,0,0,0
456,1,0,0,0
2969,1,0,0,0
2957,1,0,0,0
2828,0,0,0,1
381,1,0,0,0
3731,1,0,0,0
2299,0,0,0,1
2451,0,0,0,1
1010,0,0,0,1
3494,0,0,0,1
3997,1,0,0,0
662,0,0,0,1
1697,0,0,0,1
1614,1,0,0,0
3785,0,0,0,1
2353,0,0,0,1
3737,1,0,0,0
3129,1,0,0,0
3035,0,0,0,1
2213,1,0,0,0
845,0,0,0,1
542,1,0,0,0
91,0,0,0,1
2552,0,0,0,1
1588,1,0,0,0
1196,1,0,0,0
1102,1,0,0,0
2678,0,0,0,1
1770,1,0,0,0
2256,1,0,0,0
1833,0,0,0,1
2155,1,0,0,0
3680,1,0,0,0
3366,0,0,0,1
1048,1,0,0,0
2829,1,0,0,0
3987,1,0,0,0
898,1,0,0,0
1459,0,0,0,1
1618,1,0,0,0
237,0,0,1,0
2460,0,0,0,1
1783,0,0,0,1
1133,1,0,0,0
2605,0,0,0,1
2726,1,0,0,0
163,1,0,0,0
2295,1,0,0,0
1842,1,0,0,0
252,0,1,0,0
1779,0,0,0,1
3195,0,1,0,0
1950,0,0,0,1
1545,1,0,0,0
930,1,0,0,0
2404,1,0,0,0
1871,1,0,0,0
3048,1,0,0,0
2986,1,0,0,0
1866,1,0,0,0
3999,1,0,0,0
2232,1,0,0,0
3021,1,0,0,0
1090,1,0,0,0
3186,0,0,0,1
3834,1,0,0,0
3123,1,0,0,0
1181,1,0,0,0
1452,0,0,1,0
593,1,0,0,0
677,0,0,0,1
41,1,0,0,0
2409,1,0,0,0
2396,0,0,0,1
2411,0,1,0,0
1948,1,0,0,0
243,0,0,1,0
1124,1,0,0,0
1339,1,0,0,0
1615,1,0,0,0
3935,1,0,0,0
1569,1,0,0,0
1442,0,0,0,1
261,0,0,0,1
2346,0,0,1,0
2990,1,0,0,0
2249,1,0,0,0
2696,1,0,0,0
2662,1,0,0,0
834,0,0,0,1
3075,0,0,0,1
1670,1,0,0,0
3008,0,0,1,0
1611,1,0,0,0
340,1,0,0,0
3049,0,0,0,1
748,0,0,0,1
1898,0,0,0,1
480,1,0,0,0
3230,0,0,0,1
2658,0,0,1,0
3624,1,0,0,0
2019,1,0,0,0
783,1,0,0,0
3432,0,1,0,0
1872,1,0,0,0
2614,0,0,0,1
3203,1,0,0,0
3814,0,0,1,0
2500,1,0,0,0
1732,1,0,0,0
1840,1,0,0,0
2628,1,0,0,0
3089,1,0,0,0
1791,0,0,0,1
1271,1,0,0,0
3236,0,0,0,1
2009,1,0,0,0
1127,0,0,0,1
626,0,0,0,1
347,0,0,0,1
3055,1,0,0,0
2623,1,0,0,0
1565,1,0,0,0
2104,0,0,0,1
979,1,0,0,0
1423,0,0,0,1
3965,1,0,0,0
2138,1,0,0,0
911,0,0,0,1
3284,1,0,0,0
632,0,0,1,0
1756,1,0,0,0
445,0,0,0,1
617,1,0,0,0
2487,1,0,0,0
3726,1,0,0,0
2176,1,0,0,0
2014,1,0,0,0
2167,1,0,0,0
2760,1,0,0,0
3693,1,0,0,0
2577,0,0,0,1
1465,1,0,0,0
3410,1,0,0,0
2119,1,0,0,0
115,1,0,0,0
1494,1,0,0,0
353,0,0,1,0
1232,1,0,0,0
613,0,0,0,1
3673,0,0,0,1
1729,1,0,0,0
2351,0,0,0,1
3722,1,0,0,0
2530,0,0,0,1
3766,1,0,0,0
57,0,0,0,1
2827,0,0,0,1
3248,1,0,0,0
2913,1,0,0,0
3919,1,0,0,0
1253,0,0,0,1
3337,0,0,0,1
2510,1,0,0,0
2340,1,0,0,0
1765,1,0,0,0
2131,1,0,0,0
1909,1,0,0,0
2069,0,0,0,1
1832,0,0,1,0
560,0,0,1,0
707,1,0,0,0
2928,1,0,0,0
424,0,0,0,1
1093,0,0,0,1
1376,1,0,0,0
647,1,0,0,0
72,0,0,0,1
2080,0,0,0,1
3291,1,0,0,0
2887,1,0,0,0
1005,1,0,0,0
620,1,0,0,0
3945,1,0,0,0
287,1,0,0,0
553,0,0,0,1
2603,0,0,0,1
2611,1,0,0,0
1702,1,0,0,0
1554,0,0,0,1
3553,1,0,0,0
3303,1,0,0,0
2555,0,0,0,1
998,1,0,0,0
2111,1,0,0,0
3634,1,0,0,0
2057,0,0,0,1
1397,1,0,0,0
1577,1,0,0,0
1620,1,0,0,0
3661,1,0,0,0
2166,0,0,0,1
3985,0,0,0,1
2328,0,0,0,1
2743,1,0,0,0
440,1,0,0,0
508,0,0,1,0
1100,1,0,0,0
589,1,0,0,0
1967,0,0,0,1
649,0,0,0,1
1546,1,0,0,0
3647,1,0,0,0
3927,0,0,0,1
2330,1,0,0,0
3863,1,0,0,0
2545,1,0,0,0
1455,0,0,0,1
2090,1,0,0,0
660,1,0,0,0
630,1,0,0,0
672,0,0,0,1
1249,0,0,0,1
1745,1,0,0,0
482,0,0,0,1
1584,1,0,0,0
2228,1,0,0,0
3416,1,0,0,0
1945,0,0,0,1
1462,1,0,0,0
2772,1,0,0,0
2578,1,0,0,0
3233,1,0,0,0
856,1,0,0,0
1225,1,0,0,0
1190,0,0,0,1
2196,1,0,0,0
3831,1,0,0,0
530,0,0,0,1
2665,0,0,0,1
49,1,0,0,0
3776,1,0,0,0
2004,0,0,0,1
858,1,0,0,0
3960,1,0,0,0
1072,1,0,0,0
719,1,0,0,0
151,1,0,0,0
2172,1,0,0,0
2988,0,0,0,1
1660,1,0,0,0
1656,1,0,0,0
2183,0,0,0,1
2319,0,0,0,1
2826,0,0,0,1
2178,1,0,0,0
2963,1,0,0,0
1877,0,0,0,1
2951,1,0,0,0
3607,1,0,0,0
2736,1,0,0,0
2132,1,0,0,0
2934,0,0,0,1
2599,1,0,0,0
2840,1,0,0,0
1385,1,0,0,0
3667,1,0,0,0
1399,1,0,0,0
1195,1,0,0,0
3911,1,0,0,0
1475,1,0,0,0
3391,0,0,0,1
3503,1,0,0,0
3578,1,0,0,0
297,1,0,0,0
2083,0,0,0,1
1264,1,0,0,0
3856,1,0,0,0
958,1,0,0,0
1606,0,1,0,0
2542,1,0,0,0
908,1,0,0,0
1936,1,0,0,0
1609,1,0,0,0
2417,1,0,0,0
1374,1,0,0,0
1286,1,0,0,0
3994,0,0,0,1
349,1,0,0,0
1368,0,0,0,1
3159,1,0,0,0
643,0,0,0,1
2718,1,0,0,0
3653,1,0,0,0
1681,1,0,0,0
669,1,0,0,0
3630,0,0,0,1
2920,1,0,0,0
3268,1,0,0,0
3588,0,0,0,1
2764,1,0,0,0
1179,1,0,0,0
2496,1,0,0,0
2755,1,0,0,0
3216,0,0,0,1
2740,1,0,0,0
1587,1,0,0,0
3153,0,0,0,1
2971,1,0,0,0
2379,1,0,0,0
1357,1,0,0,0
786,1,0,0,0
3594,0,0,0,1
140,0,0,0,1
788,1,0,0,0
323,1,0,0,0
2697,0,0,1,0
714,1,0,0,0
3322,1,0,0,0
2380,1,0,0,0
3695,0,0,0,1
3187,1,0,0,0
3367,0,0,0,1
2345,1,0,0,0
618,1,0,0,0
406,0,0,0,1
2212,1,0,0,0
2044,1,0,0,0
2732,1,0,0,0
2028,1,0,0,0
2424,1,0,0,0
497,1,0,0,0
2260,0,0,0,1
342,1,0,0,0
2585,1,0,0,0
3011,0,0,0,1
782,0,0,0,1
2179,1,0,0,0
1323,1,0,0,0
2318,0,1,0,0
1965,0,0,0,1
303,0,0,0,1
3259,1,0,0,0
2466,1,0,0,0
664,0,0,0,1
1177,0,0,0,1
1244,1,0,0,0
3422,0,0,0,1
2312,1,0,0,0
3014,0,0,0,1
3572,1,0,0,0
3672,0,1,0,0
84,0,0,0,1
3889,1,0,0,0
1800,1,0,0,0
941,0,0,1,0
961,1,0,0,0
841,1,0,0,0
2215,0,0,0,1
3789,1,0,0,0
3408,0,0,0,1
866,1,0,0,0
2333,1,0,0,0
3679,1,0,0,0
290,1,0,0,0
3341,1,0,0,0
2861,1,0,0,0
1983,0,0,0,1
3351,0,0,1,0
3623,1,0,0,0
604,1,0,0,0
3254,0,0,0,1
916,1,0,0,0
2609,1,0,0,0
3281,1,0,0,0
1099,1,0,0,0
1088,1,0,0,0
3804,0,0,0,1
2791,0,0,0,1
1624,1,0,0,0
3393,1,0,0,0
821,1,0,0,0
3012,1,0,0,0
3585,1,0,0,0
3782,0,0,0,1
3231,1,0,0,0
3280,0,1,0,0
1302,0,0,0,1
1000,1,0,0,0
3293,1,0,0,0
3128,1,0,0,0
1505,1,0,0,0
1477,1,0,0,0
18,1,0,0,0
1637,0,0,0,1
1667,1,0,0,0
493,1,0,0,0
1125,0,0,0,1
1404,1,0,0,0
3101,0,0,0,1
3164,1,0,0,0
3015,0,0,1,0
3846,1,0,0,0
2430,1,0,0,0
2276,1,0,0,0
1987,0,1,0,0
584,0,0,0,1
2339,1,0,0,0
687,0,0,0,1
2456,0,0,0,1
2679,1,0,0,0
1953,1,0,0,0
1608,1,0,0,0
3770,1,0,0,0
2238,0,0,0,1
1009,0,0,0,1
3207,1,0,0,0
2314,0,0,0,1
360,1,0,0,0
3404,1,0,0,0
3651,1,0,0,0
3926,0,0,0,1
1677,0,0,0,1
1310,0,0,0,1
1170,0,0,0,1
1961,1,0,0,0
800,0,0,0,1
2407,0,0,0,1
344,0,0,0,1
2702,0,0,0,1
986,0,0,0,1
3808,1,0,0,0
743,1,0,0,0
2954,1,0,0,0
1671,1,0,0,0
2453,1,0,0,0
2029,0,0,0,1
113,0,0,0,1
1437,0,0,0,1
3597,1,0,0,0
1241,1,0,0,0
1142,1,0,0,0
2416,1,0,0,0
1216,1,0,0,0
1825,0,0,0,1
1198,1,0,0,0
85,0,0,0,1
1518,1,0,0,0
2898,1,0,0,0
1381,1,0,0,0
1375,1,0,0,0
668,1,0,0,0
3947,1,0,0,0
1014,1,0,0,0
128,1,0,0,0
1364,1,0,0,0
3989,0,0,0,1
3368,1,0,0,0
891,0,0,0,1
2571,0,0,0,1
1359,1,0,0,0
307,0,0,0,1
3675,1,0,0,0
3723,1,0,0,0
383,1,0,0,0
150,1,0,0,0
2283,1,0,0,0
1317,1,0,0,0
1451,1,0,0,0
2015,1,0,0,0
2606,1,0,0,0
426,0,0,0,1
494,1,0,0,0
1207,1,0,0,0
3568,0,0,0,1
2478,0,0,0,1
1208,1,0,0,0
1820,0,1,0,0
3041,0,0,1,0
3225,1,0,0,0
3670,1,0,0,0
2722,1,0,0,0
1973,1,0,0,0
1239,1,0,0,0
3139,1,0,0,0
2185,1,0,0,0
275,1,0,0,0
489,1,0,0,0
3161,1,0,0,0
1229,1,0,0,0
690,1,0,0,0
3311,1,0,0,0
2659,1,0,0,0
2046,1,0,0,0
2298,0,0,0,1
1780,0,0,0,1
2927,1,0,0,0
2763,1,0,0,0
1058,1,0,0,0
118,1,0,0,0
1024,1,0,0,0
3024,1,0,0,0
281,1,0,0,0
2771,1,0,0,0
1316,1,0,0,0
3855,1,0,0,0
968,1,0,0,0
1665,1,0,0,0
3513,1,0,0,0
1905,1,0,0,0
3800,1,0,0,0
2529,0,0,0,1
2316,0,0,0,1
619,1,0,0,0
2124,1,0,0,0
1742,1,0,0,0
3279,1,0,0,0
155,0,0,0,1
1847,1,0,0,0
3906,1,0,0,0
1655,1,0,0,0
2984,1,0,0,0
304,1,0,0,0
2876,1,0,0,0
3396,1,0,0,0
3775,1,0,0,0
1956,0,0,1,0
4003,0,0,0,1
2972,0,1,0,0
1307,1,0,0,0
2241,0,0,0,1
575,1,0,0,0
3792,1,0,0,0
3428,1,0,0,0
3496,1,0,0,0
1706,1,0,0,0
2462,1,0,0,0
1299,0,0,0,1
132,0,0,0,1
3619,1,0,0,0
3200,1,0,0,0
861,1,0,0,0
843,1,0,0,0
1801,0,0,1,0
1628,0,0,0,1
1993,1,0,0,0
2149,1,0,0,0
269,0,0,0,1
629,0,0,0,1
1730,0,0,0,1
1033,0,0,0,1
2321,0,1,0,0
286,1,0,0,0
1326,0,0,0,1
2937,1,0,0,0
300,1,0,0,0
3173,0,0,0,1
3007,1,0,0,0
3596,1,0,0,0
1447,0,0,0,1
1472,0,1,0,0
2825,1,0,0,0
2476,0,0,0,1
1186,1,0,0,0
65,0,0,0,1
2948,1,0,0,0
1880,0,0,0,1
890,0,1,0,0
3083,1,0,0,0
3724,1,0,0,0
1766,0,0,0,1
2517,1,0,0,0
2110,0,0,1,0
2008,1,0,0,0
230,0,1,0,0
503,1,0,0,0
3636,1,0,0,0
4000,0,0,0,1
380,1,0,0,0
2793,0,0,0,1
1525,1,0,0,0
2303,0,0,1,0
2121,1,0,0,0
1004,1,0,0,0
1957,0,0,1,0
836,1,0,0,0
2384,0,1,0,0
374,0,0,0,1
2140,1,0,0,0
3652,1,0,0,0
939,0,0,1,0
2531,1,0,0,0
2752,0,0,0,1
2512,0,0,1,0
529,0,0,0,1
3508,0,0,0,1
636,1,0,0,0
1269,1,0,0,0
185,1,0,0,0
2513,1,0,0,0
3589,1,0,0,0
2366,0,0,0,1
1797,1,0,0,0
1441,0,0,0,1
1535,1,0,0,0
1273,1,0,0,0
607,0,0,0,1
1712,1,0,0,0
3978,0,0,0,1
3925,1,0,0,0
2223,0,0,0,1
3953,0,0,0,1
2071,1,0,0,0
3355,0,0,0,1
1977,0,0,1,0
158,0,0,0,1
1748,1,0,0,0
3948,0,0,1,0
902,1,0,0,0
352,1,0,0,0
1230,1,0,0,0
3487,0,0,0,1
444,0,0,0,1
3923,0,0,0,1
754,0,0,0,1
1737,1,0,0,0
3967,1,0,0,0
311,1,0,0,0
548,1,0,0,0
2654,1,0,0,0
2892,1,0,0,0
306,0,0,0,1
694,1,0,0,0
1927,1,0,0,0
3078,1,0,0,0
749,1,0,0,0
1266,1,0,0,0
2159,1,0,0,0
2471,1,0,0,0
970,0,1,0,0
13,1,0,0,0
873,0,0,0,1
808,0,0,0,1
514,1,0,0,0
3201,1,0,0,0
409,0,0,1,0
2240,0,0,1,0
3928,1,0,0,0
207,1,0,0,0
2499,1,0,0,0
458,1,0,0,0
2284,1,0,0,0
2413,1,0,0,0
2907,1,0,0,0
2465,1,0,0,0
2649,1,0,0,0
1883,1,0,0,0
1713,0,0,0,1
2717,1,0,0,0
2429,1,0,0,0
552,1,0,0,0
3716,1,0,0,0
3845,0,0,0,1
1925,1,0,0,0
634,0,0,0,1
3683,1,0,0,0
316,1,0,0,0
3052,1,0,0,0
3531,0,0,1,0
1328,1,0,0,0
427,1,0,0,0
2962,0,0,0,1
105,1,0,0,0
142,1,0,0,0
3839,1,0,0,0
3148,1,0,0,0
2242,1,0,0,0
1949,1,0,0,0
3558,1,0,0,0
3732,0,0,0,1
2157,1,0,0,0
3937,1,0,0,0
1951,1,0,0,0
2687,0,0,0,1
2925,0,0,0,1
2292,1,0,0,0
1109,1,0,0,0
2894,1,0,0,0
591,0,0,0,1
3718,1,0,0,0
1576,1,0,0,0
2873,1,0,0,0
213,0,0,0,1
778,0,0,0,1
2932,1,0,0,0
3527,0,0,0,1
2043,1,0,0,0
3295,1,0,0,0
3365,0,1,0,0
3135,0,0,0,1
1567,1,0,0,0
3031,1,0,0,0
3551,0,0,1,0
2683,0,0,1,0
3616,1,0,0,0
1343,1,0,0,0
2013,0,0,0,1
273,0,0,0,1
71,0,0,0,1
1087,1,0,0,0
394,1,0,0,0
583,1,0,0,0
3874,1,0,0,0
2682,1,0,0,0
2698,0,0,1,0
3656,1,0,0,0
2619,1,0,0,0
2325,0,0,0,1
1763,1,0,0,0
3162,1,0,0,0
1259,0,0,0,1
526,1,0,0,0
377,0,0,0,1
1559,1,0,0,0
2514,1,0,0,0
1963,1,0,0,0
3576,1,0,0,0
348,0,0,0,1
2753,0,0,1,0
1709,0,0,0,1
1050,1,0,0,0
590,1,0,0,0
519,1,0,0,0
3227,1,0,0,0
2707,1,0,0,0
1083,1,0,0,0
3939,1,0,0,0
4004,0,0,0,1
1809,0,0,0,1
3885,1,0,0,0
792,1,0,0,0
2798,0,0,1,0
1980,1,0,0,0
2883,1,0,0,0
2227,1,0,0,0
1530,1,0,0,0
1410,1,0,0,0
3218,1,0,0,0
3986,0,0,1,0
83,1,0,0,0
3144,1,0,0,0
20,1,0,0,0
2251,1,0,0,0
1562,1,0,0,0
973,1,0,0,0
1710,1,0,0,0
2607,0,1,0,0
1098,1,0,0,0
2748,0,0,1,0
886,0,1,0,0
2423,1,0,0,0
3093,1,0,0,0
3370,1,0,0,0
737,0,0,1,0
1453,0,1,0,0
2758,1,0,0,0
3897,0,0,0,1
2126,1,0,0,0
906,0,0,0,1
2406,1,0,0,0
2940,1,0,0,0
947,0,0,0,1
2505,1,0,0,0
2668,1,0,0,0
715,1,0,0,0
2657,1,0,0,0
686,1,0,0,0
3418,1,0,0,0
2949,1,0,0,0
3973,1,0,0,0
885,0,0,0,1
917,1,0,0,0
3719,1,0,0,0
3316,1,0,0,0
2527,1,0,0,0
1265,1,0,0,0
483,0,1,0,0
2998,1,0,0,0
3462,0,0,1,0
277,1,0,0,0
988,1,0,0,0
2084,1,0,0,0
1245,0,0,0,1
571,1,0,0,0
1435,1,0,0,0
993,0,0,0,1
2304,1,0,0,0
3730,1,0,0,0
585,0,0,0,1
1349,1,0,0,0
1007,1,0,0,0
674,1,0,0,0
447,1,0,0,0
2285,0,0,1,0
3687,1,0,0,0
2064,1,0,0,0
3168,1,0,0,0
2507,0,0,0,1
1690,1,0,0,0
3305,0,0,0,1
1247,1,0,0,0
1985,1,0,0,0
294,0,0,1,0
1547,1,0,0,0
2012,0,0,0,1
588,1,0,0,0
2129,1,0,0,0
3333,0,0,0,1
425,0,0,0,1
1054,1,0,0,0
3328,1,0,0,0
556,1,0,0,0
3025,0,0,0,1
2583,1,0,0,0
3549,1,0,0,0
3546,1,0,0,0
2704,1,0,0,0
1193,1,0,0,0
1716,0,0,0,1
2711,0,0,0,1
3612,1,0,0,0
3930,0,0,0,1
2464,1,0,0,0
1285,1,0,0,0
2498,0,1,0,0
2741,0,0,0,1
