Class,Text,ID
Extract Method,Allow TableMacro to consume Maps and Collections Actually it is not possible to pass to TableMacro smth like{code}TABLE(MY_TABLE('simpleName' MAP[ 'key' 'value' 'anotherKey' 'anotherValue' ] )){code}SqlUserDefinedTableMacro.convertArguments leads to IllegalArgumentException: _All arguments of call to macro XXX  should be literal._,13
Extract Method,"Implement ""connectionSync"" RPC Per thread on dev list titled ""Avatica handling of connection state"" this ticket implements such an rpc.",14
Extract Method,Use a Factory in MaterializationService to create tables Follow up of this [conversation|https://mail-archives.apache.org/mod_mbox/incubator-calcite-dev/201503.mbox/%3CCANG6QPx7eLmUrkXRTY09yGw7GchMNRSSDnRCQEnd_3z%3DJCX%3Dgg%40mail.gmail.com%3E]There are two tasks:1. Use a Factory to create tables that represent a materialized view.2. Add an entry to the schema only if a materialized table was created in defineMaterialization.I'll open a WIP progress soon. 1. was easy to implement.2. is proving to be hard because rest of the code requires a CalciteSchema.TableEntry object which is available only when a table is added to schema. I dont know how to get an object for an existing entry.  ,15
Extract Method,"Commit functionality not exposed by the RPC server It seems that the commit/rollback functionality is not exposed by the RPC server which means that it's only usable in autocommit mode. Avatica itself doesn't have a concept of commit in the RPC and the remote JDBC connection raises an exception when calling commit() on it but Phoenix's native JDBC connection does implement commit() so the RPC needs to be extended to allow calling that remotely.The easiest way to test this ""!autocommit off"" and then ""!commit"" fails in ""sqline-thin.py"" but works in ""sqline.py"".",16
Extract Method,"Register all combinations of materialization substitutions When a query has multiple table references there could be:1) Multiple combinations of substituted Rels if one materialization is applicable for more than one sub-tree.2) Multiple combinations of substituted Rels if different materializations are applicable for different sub-trees respectively.{code}  @Test public void testSingleMaterializationMultiUsage() {    String q = ""select *\n""        + ""from (select * from \""emps\"" where \""empid\"" < 300)\n""        + ""join (select * from \""emps\"" where \""empid\"" < 200) using (\""empid\"")"";    try {      Prepare.THREAD_TRIM.set(true);      MaterializationService.setThreadLocal();      CalciteAssert.that()          .withMaterializations(JdbcTest.HR_MODEL               ""m0"" ""select * from \""emps\"" where \""empid\"" < 500"")                        .query(q)          .enableMaterializations(true)          .explainMatches("""" new Function<ResultSet Void>() {            public Void apply(ResultSet s) {              try {                final String actual = Util.toLinux(CalciteAssert.toString(s));                final String scan = ""EnumerableTableScan(table=[[hr m0]])"";                assertTrue(actual + "" should have had two occurrences of "" + scan                     StringUtils.countMatches(actual scan) == 2);                return null;              } catch (SQLException e) {                throw new RuntimeException(e);              }            }          })          .sameResultWithMaterializationsDisabled();    } finally {      Prepare.THREAD_TRIM.set(false);    }  }  @Test public void testMultiMaterializationMultiUsage() {    String q = ""select *\n""        + ""from (select * from \""emps\"" where \""empid\"" < 300)\n""        + ""join (select * from \""emps\"" where \""deptno\"" < 10) using (\""empid\"")"";    try {      Prepare.THREAD_TRIM.set(true);      MaterializationService.setThreadLocal();      CalciteAssert.that()          .withMaterializations(JdbcTest.HR_MODEL               ""m0"" ""select * from \""emps\"" where \""empid\"" < 500""              ""m1"" ""select * from \""emps\"" where \""deptno\"" < 20"")                        .query(q)          .enableMaterializations(true)          .explainContains(""EnumerableTableScan(table=[[hr m0]])"")          .explainContains(""EnumerableTableScan(table=[[hr m1]])"")          .sameResultWithMaterializationsDisabled();    } finally {      Prepare.THREAD_TRIM.set(false);    }  }{code}",17
Extract Method,"Pass URL connection properties to avatica server This ticket proposes the ability to pass connection-creation-time properties (the ""info"") from the remote avatica driver to the avatica server.Use cases: * Phoenix properties like CurrentSCN and TenantId (and similar use-cases for a custom driver at the company I work for) * user and password properties (enables authentication cfr. CALCITE-519 and CALCITE-643)See also discussion on mailing list:http://mail-archives.apache.org/mod_mbox/incubator-calcite-dev/201510.mbox/%3CCAAF1JdiZbRuMfo2CFRUoxPhBBf%3DyQ5T%2Bd%2B1ig1FzKnVDj8RGOA%40mail.gmail.com%3EThings to consider: * The remote driver might have its own properties (like ""url"") which should not be passed to the server. Remote driver is responsible for removing those. * The server might want to disallow setting some properties remotely e.g. to not allow to connect to a different database.Currently the avatica server creates a default connection (though it is marked for removal). When using authentication this is particularly annoying since you need to start up the server with an url containing user and password.I will attach a patch based on calcite 1.4 which adds the ability to pass properties as part of a new OpenConnectionRequest rpc call (a CreationConnetionRequest was proposed for different reasons in CALCITE-663). For the authentication reason mentioned the default connection is also dropped. There is one JdbcMeta instance on the server side but it manages a map of connections. Since connections were already created per client-side connection this is not different than before except that the connections are now created explicitly. Implicit connection creation has been dropped we can look into auto-recreation of the connection as part of recovery (CALCITE-903).The somewhat hacky things in the patch are:* addition of AvaticaConnection.setId(): this is because I let the server decide on the connection id. This seemed more logical to me at first though it can be easily reversed.* remote.Driver which creates an extra service instance to be able to do the OpenConnection request while all other requests happen from within RemoteMeta.The patch also passes error messages back to the client (a simple improvement towards CALCITE-645).Because the calls for metadata (such as getColumns) now also have a connection id fixing CALCITE-871 becomes easy and I have a patch ready for that as well.If the patch is acceptable I can rework it for master (now it is for 1.4).",18
Extract Method,Match materialized views when predicates contain strings and ranges This is in continuation of CALCITE-786 where queries are optimized using materialized views. Earlier we were not supporting predicates that were specifying ranges over a variable for e.g. x < 90 and x > 30. No we would be able to optimize even when such predicates are used either in query or to specify a view. Also adding support for strings for the same optimization.,19
Extract Method,"Make HttpServer to be configurable We met a case to increase ""requestHeaderSize"" but currently it's not possible.",20
Extract Method,Organize applicable materializations in reversed topological order With CALCITE-890 we now try applying each materialization with all possible substitution combinations. And this works fine if all applicable materializations are independent of each other. But with dependent materializations the order of materializations in which we perform substitution matters. For example if we have tables {{A}} and {{B}} a materialization table {{C}} that uses {{A}} and another materialization table {{D}} that uses tables {{C}} and {{B}}. Thus we should apply materialization {{C}} before applying materialization {{D}}.Right now we output the applicable materialization list as we iterate through the input materialization list which could be of random order (and it actually is). A directed graph is used to find all the applicable materializations but we can also take advantage of this graph to organize them in the desired order.,21
Rename Method,Support stream joins Stream joins are used to relate information from different streams or stream and relation combinations. Calcite lacks (proper) support for stream-to-relation joins and stream-to-stream joins.stream-to-relation join like below fails at the SQL validation stage.select stream orders.orderId orders.productId products.name from orders join products on orders.productId = products.idBut if 'products' is a stream the query is valid according to Calcite even though the stream-to-stream join in above query is not valid due to unbounded nature of streams.,22
Extract Method,"Provide generic server metadata in responses Some follow on from CALCITE-903:The assumption in that work was that the common case in running behind a load-balancer is that a given client would continue to be routed back to the same avatica server instance. Sadly this is not necessarily reality.If the only load balancer technology available is only capable of an round-robin algorithm (or similar) we need to provide the information for a client to make a decision to return to the same server upon subsequent requests (e.g. fetching the next page of results).Thinking more generally the server which processed a given request is just general metadata. We could include things like the Avatica version the ""real"" JDBC version information etc.",23
Extract Method,Create separate SqlFunctionCategory values for table functions and macros This avoids trying to apply a table function in a context where it does not apply or a regular function where a table function is needed.,24
Extract Method,Support absolute path without scheme in loading ,25
Extract Method,Disk hotspot found during data loading # ScenarioCurrently we have done a massive data loading. The input data is about 71GB in CSV formatï_Œand have about 88million records. When using carbondata we do not use any dictionary encoding. Our testing environment has three nodes and each of them have 11 disks as yarn executor directory. We submit the loading command through JDBCServer.The JDBCServer instance have three executors in total one on each node respectively. The loading takes about 10minutes (+-3min vary from each time).We have observed the nmon information during the loading and findï__1. lots of CPU waits in the first half of loading;2. only one single disk has many writes and almost reaches its bottleneck (Avg. 80M/s Max. 150M/s on SAS Disk)3. the other disks are quite idel# AnalyzeWhen do data loading carbondata read and sort data locally(default scope) and write the temp files to local disk. In my case there is only one executor in one node so carbondata write all the temp file to one disk(container directory or yarn local directory) thus resulting into single disk hotspot.# ModificationWe should support multiple directory for writing temp files to avoid disk hotspot.Ps: I have improved this in my environment and the result is pretty optimistic: the loading takes about 6minutes (10 minutes before improving).,26
Extract Method,Added tableProvider to supply carbonTable wherever needed ,27
Extract Method,Use CarbonTableInputFormat in Presto Integration Use CarbonTableInputFormat in Presto Integration,28
Rename Method,CarbonData unsupport Boolean data type   Spark/Hive table support Boolean data type the internal table also should support Boolean data type.   Boolean data type Range: TRUE or FALSE. Do not use quotation marks around the TRUE and FALSE literal values. You can write the literal values in uppercase lowercase or mixed case. The values queried from a table are always returned in lowercase true or false.    In implementing this function we employ:#       endcoding: RLE#       data expression: byte array            CarbonData should support boolean data type in following aspects:#       create table: support Boolean data type#       insert into table values: support insert Boolean column #       insert overwrite#       insert into table select from another table#       select from a table#       load data: from a local csv file#       filter: including >= > = <= < = != in not in#       describle: should show boolean data typeWe also add some test cases in booleantype directory of spark2,29
Extract Method,Support timestamp more than 68 years Enhance NoDictionary Datatypes - int  long Problem:Current implementation supports timestamp as direct dictionary only. As dictionary is always integer only 68 years of range is supported.Solution:So this issue will support timestamp as default DICTIONARY_EXCLUDE. Allowing to store internally as unix long timestamp.Problem:Int and Bigint(long) types are supported only as Dictionary include or measure they are not allowed in dictionary exclude.Solution:Support Int and Bigint(long) as Dictionary exclude and also Sort columns support for intlong bigint.To be resolved - CARBONDATA-1485,30
Extract Method,Presto Integration - Performance Improvement Presto Integration : Performance ImprovementImplemented Better handling of Nulls in Stream ReadersAdded Short and Timestamp Reader to resolve it properlyOptimized Filters to ensure better push down.,31
Rename Method,Add Event Listener interface to Carbondata Add Event Listener interface to Carbondata. This will allow extending the current functionality of various commands to perform various other operations.Example: After completion of load process if any aggregate tables are created on that table then data load operation need to be done for the aggregate table also. In this case we can create a listener such as AggregateLoadListener and register it as an event bus. Then this listener can be called once the load operation is completed which will take care of loading the aggregate table.,32
Extract Method,Merging carbonindex files for each segment. HiProblem : The first-time query of carbon becomes very slow. It is because of reading many small carbonindex files and cache to the driver at the first time.  Many carbonindex files are created in below case Loading data in large cluster   For example if the cluster size is 100 nodes then for each load 100 index files are created per segment. So after 100 loads the number of carbonindex files becomes 10000. .It will be slower to read all the files from the driver since a lot of namenode calls and IO operations.Solution :Merge the carbonindex files in two levels.so that we can reduce the IO calls to namenode and improves the read performance.Merge within a segment.Merge the carbonindex files to single file immediately after load completes within the segment. It would be named as a .carbonindexmerge file. It is actually not a true data merging but a simple file merge. So that the current structure of carbonindex files does not change. While reading we just read one file instead of many carbonindex files within the segment.,33
Inline Method,Rename aggType to measureType There are many 'aggType' in the code but its meaning is not clear,34
Extract Method,Make ArrayType and StructType contain child DataType ,35
Rename Method,Clean up store path interface There are many getStorePath API it should be unified in one place,36
Extract Method,Count Star optimization Since carbon records number of row in metadata count star query can leverage it to improve performance,37
Extract Method,Create configuration from SparkSession for data loading Create configuration form SparkSession for data loading,38
Extract Method,Make FileOperations Pluggable 1. Refactor FileFactory based on FileType to support plug-gable file handlers so that custom file handlers can have their specific logic.Example : User can provide his own implementations by extending existing FileTypes,39
Extract Method,Should extract CarbonTable.buildUniqueName method and re-factory code to invoke this method Should  extract CarbonTable.buildUniqueName method and re-factory code to invoke this method,40
Extract Method,Reusing old row to reduce memory consumption In data converting process of data loading Carbondata will convert each row to another row by batch. Currently it will create a new batch to store the converted rows which I think can be optimized to reuse the old row batch's space thus will reduce memory consumption and GC overhead.,41
Rename Method,Refactor SortStepRowUtil to make it more readable Refactor and optimize `SortRowStepUtil` to make it efficient and more readable.,42
Extract Method,Add support for task/segment level pruning Add support for task/segment level pruning. Add code to compute task level min/max which can be helpful for task/segment level pruning,43
Extract Method,"Add dictionary path support to carbondata Add dictionary path support. Carbondata dictionary framework need to be further enhanced to support reading dictionary files from a given dictionary file location.Support new table property TABLE_PROPERTIES(''dictionary_path'""/XXX""). This will allow providing external dictionary path to a table.Ex: pre-aggregate tables can share dictionary path with main table so that dictionary need not be created again. ",44
Extract Method,Add Transaction support for pre-aggregation table load Currently the load process is like this:1. load main table 2. load preagg1 and write table status3. load preagg2 and write table status4. write table status for maintableImproved process:1. load main table2. load preagg13. load preagg24. write table status for preagg25. write table status for preagg16. write table status for maintable,45
Extract Method,Enhancement of merge index compaction feature to support creation of merge index file on old store where index file does not contain the blocklet info Enhancement of merge index compaction feature to support creation of merge index file on old store where index file does not contain the blocklet info.Old store created with carbondata 1.1 version does not contain the blocklet info in the index file. On that store if merge index file is created then blocklet information will not be present in the merge index file and for first time query again carbondata file footer will be read for blocklet information retrieval.Benefits:1. Support merge index file creation on old store2. Improve first time query performance.Note: First time query performance will be improved only if merge index file is created before running the first query,46
Rename Method,Optimization in data loading for skewed data In one of my cases carbondata has to load skewed data files. The size of data file ranges from 1KB to about 5GB.In current implementation carbondata will distribute the file blocks(splits) among the nodes to maximum the data locality and data evenly distributed we call it `block-node-assignment` for short.However the current implementation has some problems.The assignment is block number based. The goal is to make sure that all the nodes deal the same amount number of blocks. In the skewed data scenario described above the block of a small file and the block of a big file are very different from its size (1KB v.s. 64MB). As a result the difference of total data size assigned for each data node is very large.In order to solve this problem the size of block should be considered during the block-node-assignment. One node can deal more blocks than another as long as the total size of blocks are almost the same.,47
Inline Method,Add compaction listener ,54
Extract Method,Refactored code segregated process meta and process data in load command h1. Refactored code segregated process meta and process data in load and Compaction command class,55
Extract Method,during stream sometime carbontable is null in executor side ,59
Extract Method,"Access tablestatus file too many times during query * ProblemsCurrently in carbondata a single query will access tablestatus file 7 times which will definitely slow down the query performance especially when this file is in remote cluster since reading this file is purely client side operation.Â  * Â Steps to reproduce1. Add logger in `AtomicFileOperationsImpl.openForRead` and printout the file name to read.2. Run a query on carbondata table. Here I ran `TestLoadDataGeneral.test(""test data loading CSV file without extension name"")`.3. Observe the output log and search the keyword 'tablestatus'.Â Â Â ",61
Extract Method,Add a path into table path to store lock files and delete useless segment lock files before loading After [PR1984|https://github.com/apache/carbondata/pull/1984] merged it doesn't delete the lock files when unlock there are many useless lock files in table path especially segment lock files they grow after every batch loading.Solution :1. add a child path into table path called Locks all lock files will be stored in this path;2. Before loading get all useless segment lock files and delete them because just segment lock files will grow other lock files dosen't grow.,63
Rename Method,Collect SQL execution information to driver side ,65
Extract Method,Enhance compaction performance by enabling prefetch During compaction carbondata will query on the segments and retrieve a rowï_Œ then it will sort the rows and produce the final carbondata file.Currently we find the poor performance in retrieving the rows so adding prefetch for the rows will surely improve the compaction performance.In my local tests compacting 4Â segments each with 100 thousand rows costs 30s with prefetch and 50s without prefetch.In my tests in a larger cluster compacting 6 segments each with 18GB raw data costs 45min with prefetch and 57min without prefetch.,66
Extract Method,Page level uncompress and Query performance improvement for Unsafe No Dictionary *Page Level Decoder for query*Add page level on demand decoding in current code all pages of blocklet is getting uncompressed because of this memory footprint is too high and causing OOM Now added code to support page level decoding one page will be decoding when all the records are processed next page data will be decoded. It will improve query performance for example limit query.*Unsafe No Dictionary(Unsafe variable length)*Optimized getRow(for Vector processing) And putArray method,67
Extract Method,Add cache for DataMap schema provider to avoid IO for each read Add cache for DataMap schema provider to avoid IO for each read.Â ,68
Rename Method,Add Profiler output in EXPLAIN command More information should give in EXPLAIN command to show the effeteness of datamap,69
Extract Method,Add CG prune before FG prune CG prune before FG prune and passes the pruned segments and indexfiles to FG DataMap for further pruning.,70
Extract Method,Improve Lucene datamap performance by eliminating blockid while writing and reading index. Currently DataMap interface implementations use blockid and blockletid while writing index files Actually blockid is not needed to store in index files as it only requires blockletid. So it adds more memory and disk size to write index files.,71
Rename Method,Support visible/invisible datamap for performance tuning Invisible datamap will not be used during the query which can be used to verify whether to remove this datamap in the future.Â This feature is similar to `Invisible indexed` in mysql (https://dev.mysql.com/doc/refman/8.0/en/invisible-indexes.html).,72
Rename Method,Search mode support lucene datamap Carbon doesn's support now{code:java}18/04/23 06:12:14 ERROR CarbonSession: Exception when executing search mode: Error while resolving filter expression fallback to SparkSQL18/04/23 06:12:14 ERROR CarbonSession: Exception when executing search mode: Error while resolving filter expression fallback to SparkSQL{code}Carbon should support it.,73
Inline Method,Remove unnecessary TableProvider interface ,75
Extract Method,Support cache for bloom datamap Currently query using bloom filter datamap is slow. The root cause is that loading bloom filter index costs too much time. We can implement a driver side cache to accelerate the loading index procedure.,76
Extract Method,Improve Lucene datamap size and performnace. Improved lucene datamap size and performance by using the following parameters.New DM properties `flush_cache`: size of the cache to maintain in Lucene writer if specified then it tries to aggregate the unique data till the cache limit and flush to Lucene. It is best suitable for low cardinality dimensions.`split_blocklet`: when made as true then store the data in blocklet wise in lucene  it means new folder will be created for each blocklet thus it eliminates storing on blockletid in lucene. And also it makes lucene small chunks of data.,77
Extract Method,Chnage the bloom implementation to hadoop for better performance and compression The current implementation of bloom does not give better performance and compression And also it adds new guava dependency to carbon. So remove the guava dependency and add hadoopÂ bloom.,78
Rename Method,The order is different between write and read data type of schema in SDK The order is different between write and read data type of schema in SDK,79
Rename Method,Support StreamSQL for streaming job Currently carbon supports creating streaming job via Spark Streaming API this requires user to use spark-submit to create the streaming job. To make it easier for SQL users carbon should support StreamSQL to manage the streaming job.,81
Rename Method,"Introduce configurable Lock Path Currently table level lock files are prepared in table path and system level locks are created inside store.When supporting S3 locking cannot be done is using S3 files as S3 support onlyÂ  eventual consistency.So user can chose different HDFS location to configure locks so that data can be on S3 and locks can be on HDFS.User also chose Zookeeper LockÂ if does not have HDFS location.SoÂ require to support a configuration pathÂ ""carbon.lock.path""Â ",83
Rename Method,Support Avro datatype conversion to Carbon Format 1.Support Avro Complex Types: Enum Union Fixed with Carbon.2.Support Avro Logical Types: TimeMillis TimeMicros Decimal with Carbon.Â Please find the design document in the below link:https://docs.google.com/document/d/1Jne8vNZ3OSYmJ_72hTIk_5I4EeIVtxGNE5mN_hBlnVE/edit?usp=sharing,85
Extract Method,Should rename the methods of ByteUtil class to avoid the misuse the method toBytes will execute XOR operation on data.So the result is not the byte array of theÂ real value.Better to rename the methods of ByteUtil class to avoid the misuse,86
Rename Method,Adaptive encoding support for timestamp no dictionary and Refactor ColumnPageWrapper ,88
Move Method,Support Float and Byte Datatypes for SDK and DataSource CurrentlyÂ floatÂ is supported by internally storing the data as double and changing the data type to Double. This poses some problems while using SparkCarbonFileFormat for reading theÂ floatÂ type data.Internally as the data type is changed fromÂ FloatÂ to Double therefore the data is retrieved as a Double page instead ofÂ float.Â If the user tried to create a table using file format by specifying the datatype asÂ floatÂ for any column then the query will fail. User isÂ *restricted to use double to retrieve the data.*,89
Extract Method,Support dumping column chunk meta in CarbonCli ,90
Rename Method,Change bloom query model to proceed multiple filter values ,91
Rename Method,Data mismatch after compaction with measure sort columns problem: Data mismatch after compaction with measure sort columnsroot cause : In compaction flow (DictionaryBasedResultCollector) in ColumnPageWrapper inverted index mapping is not handled. Because of this row of no dictionary dimension columns gets data form other rows.Hence the data mismatchÂ solution: Handle inverted index mapping forÂ  DictionaryBasedResultCollector flow in ColumnPageWrapperÂ ,92
Inline Method,Refactor ColumnPageWrapper ,93
Extract Method,Added Performance statistics for query execution in driver and executor Added Performance statistics for query execution in driver and executor for each phase of query execution ,94
Rename Method,make zookeeper lock as default if zookeeper url is configured. make the lock type as zookeeper if zookeeper URL is present in the spark conf.if spark.deploy.zookeeper.url property is set in spark-default.conf then need to take the zookeeper locking.,95
Rename Method,"Entity Tab switching on new entity creation When a new Db|Obj Entity is created entity editor should switch to the ""Entity"" tab with ""Name"" field acquiring focus. This thing while minor causes me lots of irritation on new projects when lots of entities are created at once",96
Extract Method,Add confirmation dialog for delete actions. Apparently I'm foolish enough to constantly confuse the entity level and attribute/relationship level delete buttons.  As a result I constantly delete the wrong thing.  With no undo support this means closing the modeler reopening and redoing any work I hadn't save beforehand.  While I wholly acknowledge that a pop-up confirmation dialog may very well get ignored (a big chunk of my thesis revolved around this) adding that extra step may at least help prevent deletions due to inadvertent clicks.  If it became particularly annoying we could add a switch to globally disable the confirmations.,97
Rename Method,"Do something about to-many prefetch limitations http://cayenne.apache.org/doc/prefetching.html""PREFETCH LIMITATION: To-many relationships should not be prefetched if a query qualifier can potentially reduce a number of related objects resulting in incorrect relationship list.""This can bite an unsuspecting user... So we either 1. Address the core limitation by building a correct prefetch query (use subselect?)2. Detect these cases and throw an exception3. Detect these cases and silently drop a prefetchI should note that debugging these problems is very hard as they look totally random until you get to the cause.",100
Extract Method,Make PK metadata available via Obj* API. There are cases where it would be nice to have PK metadata available on the ROP client.  Since this data is currently only available via the Db* API this is an issue as the ROP client cannot access Db* items.  By making this data available via the Obj* API via a limited ObjAttribute the needed data could be handled on both server and client.  Likewise this could cleanup existing code that does Db* wrangling to get access to the metadata.Please see the following thread for more details:http://markmail.org/message/yvhyhlmi7kiasamg,103
Rename Method,Aligning query capabilities 1. EJBQLQuery should support DataRows pagination cache groups just like SelectQuery does.2. ProcedureQuery should support SQLResultSetMapping and 'setColumnNamesCapitalization' just like SQLTemplate,104
Rename Method,Add support for start index/offset of queries Cayenne already allows us to programatically set a query fetch limit.It would be nice if we could also specify a fetch index/fetch offset into a query to make it simple to fetch eg the 100th through the 150th results from the database.,105
Extract Method,"ObjRelationship Mapping Dialog Improvements [This is a GSoC 2008 task]The biggest complaint about the ObjRelationship mapping dialog is that it is often unclear how it operates especially to the new users. I.e. empty list of DbRelationships is displayed as a white area not giving any hints on what needs to be done to map a relationship. So that's confusing. Same thing when you add 1 path component there is no hint that you can chain more path components for the flattened relationship.At the minimum we may just add some hint text (""Select next DbRelationship"" in grey over the next available dropdown) but ideally we should implement a path browser similar to how the SelectQuery prefetch and ordering browsers operate (and similar to how OS X Finder does).",106
Extract Method,CayenneContext should support ThreadLocal operations CayenneContext lacks the ThreadLocal utility methods that DataContext has.  The plan is to add a BaseContext class that both derive from and make the functionality common to all subclasses.,107
Rename Method,Nested contexts on ROP Nested contexts should be avaliable via CayenneContext. This also leads to moving up some methods from DataContext to BaseContext or even ObjectContext,108
Rename Method,Generated DataMap classes should contain public constants for all query names The new DataMap classes are great for accessing named queries in a type-safe manner.  An additional improvement would be to add the public static final strings for every named query (not just object select queries) similar to how DataObjects are generated with constants for references property names of the entity.,110
Extract Method,"Default class generation folder is wrong Default class generation folder in the modeler (Tools > Generate Classes > Output directory) is selected to be the folder where cayenne.xml is stored. If a user changes it it is not saved in user preferences so on the next attempt to generate classes the old folder is shown.Another related improvement: In a project that has Maven folder layout cayenne.xml is often is src/main/resources. In this case we must select a default folder ot be src/mainjava (for ""src/test/resources"" it should be src/test/java). I.e. we should be smarter when we are dealing with predictable maven structures.",111
Move Method,Undo/Redo support in modeler Modeler should support Undo/Redo. History should include all add/remove/edit/sync operations and be reset after 'Major' operations like Reverse-Engineer.,112
Extract Method,Cayenne should support enum types in qualifier statements/expression handling Currently cayenne doesn't support java enums in its expression syntax and by extension in qualifier statements.  This makes it impossible to use an enum type as a class descriminator for inheritance.Enum expressions would look like:propertyName = some.package.Type.CONSTANTto make it consistent with JPA.,117
Extract Method,Implement qualifiers for DBEntities This is much like ObjEntities qualifier only applied on DBEntities level. This for instance means that it will be inserted in needed JOINs of any select thus allowing to use restricting qualifiers in e.g. middle table of many-to-many flattened relationship.This issue includes core changes and modeler support,119
Extract Method,"Allow providing custom INSERT UPDATE DELETE query builders This feature will allow user to incercept Cayenne delete insert update behavior and do something else that simple SQL-INSERTs UPDATEs DELETEs. For instance in many cases UPDATE which sets some 'deleted' field to true is more useful than simple ""DELETE FROM...""This issue includes core changes and modeler support",120
Rename Method,Add method to ExpressionFactory to match against the primary key of an object or list of objects It would be helpful to have a method in ExpressionFactory that build an expression using matchDbExp() to match an object's primary keys.This can be helpful in excluding a single or list of known objects from the result of a query.,121
Extract Method,Memorize user-selected column widths in preferences Modeler is using a few Swing tables most notably for attributes and relationships. The width of the columns in those tables are hardcoded and any user adjustments are reset back to defaults once selected entity is changed. We need to persist and restore the user preferences  per table type (DbAttribute DbRelationship ObjAttribute ObjRelationship). This will be based on the new preferences mechanism developed per CAY-1327,122
Move Method,Replace DefaultType with dedicated types We can shove off some milliseconds from large result set processing loops by replacing DefaultType which uses reflection on the ResultSet (ugh that was a bright idea) with dedicated per type extended types. This won't improve things dramatically however the change is straightforward and is definitely worth doing.,123
Rename Method,Use #result as optional directive for only few columns (not all) Here is few queries to show the problem:SELECT ARTIST_ID ARTIST_NAME FROM ARTIST  - working properlySELECT #result('ARTIST_ID' 'java.lang.Integer') #result('ARTIST_NAME' 'java.lang.String') FROM ARTIST - also working properlySELECT ARTIST_ID  #result('ARTIST_NAME' 'java.lang.String') FROM ARTIST- first column is returned as null!!! Not nice...,124
Extract Method,"Update Ordering to take enums instead of boolean flags. The Ordering class currently takes booleans to indicate ascending/descending and case sensitive/insensitive.  When reading the code it is impossible to know what ""true"" and ""false"" actually mean unless you are familiar with the API.  Update the class to use descriptive enums instead of boolean flags.",125
