,v1_comment,Change Attribute Type,Change Parameter Type,Change Return Type,Change Variable Type,Move Class,Rename Attribute,Rename Class,Rename Method,Rename Parameter,Rename Variable
51,"todo: add new members to received, remove left members from received",1,0,0,1,0,0,0,0,0,1
52,this value is pretty much arbitrary (should be positive though),0,0,1,0,0,0,0,1,0,0
53,"TODO: find out when this would be called, maybe do more here",0,0,1,0,0,0,0,1,0,0
54,TODO: need to send some sort of ACK or something to the sequencer (maybe),0,0,1,0,0,0,0,1,0,0
55,if ( temp_obj instanceof TotalHeader ),0,0,1,0,0,0,0,1,0,0
56,if ( temp_obj instanceof Address ),0,0,1,0,0,0,0,1,0,0
57,TODO: this may be temporary,0,0,1,0,0,0,0,1,0,0
58,TODO: this if is temporary (debug),0,0,1,0,0,0,0,1,0,0
59,this will probably never happen,0,0,1,0,0,0,0,1,0,0
60,if ( temp_obj instanceof Message ),0,0,1,0,0,0,0,1,0,0
61,TODO: finish commenting meaning of seq_id for different header types,0,0,1,0,0,0,0,1,0,0
62,this value is pretty much arbitrary (should be positive though),0,0,1,0,0,0,0,1,0,0
63,"TODO: find out when this would be called, maybe do more here",0,0,1,0,0,0,0,1,0,0
64,TODO: need to send some sort of ACK or something to the sequencer (maybe),0,0,1,0,0,0,0,1,0,0
65,if ( temp_obj instanceof TotalHeader ),0,0,1,0,0,0,0,1,0,0
66,if ( temp_obj instanceof Address ),0,0,1,0,0,0,0,1,0,0
67,TODO: this may be temporary,0,0,1,0,0,0,0,1,0,0
68,TODO: this if is temporary (debug),0,0,1,0,0,0,0,1,0,0
69,this will probably never happen,0,0,1,0,0,0,0,1,0,0
70,if ( temp_obj instanceof Message ),0,0,1,0,0,0,0,1,0,0
71,TODO: finish commenting meaning of seq_id for different header types,0,0,1,0,0,0,0,1,0,0
72,todo: remove once all unchecked use has been converted into checked use,1,1,1,1,0,0,0,0,0,0
73,todo: set the names of all threads in both thread pools,1,1,1,1,0,0,0,0,0,0
74,todo: unset the names of all threads in both thread pools,1,1,1,1,0,0,0,0,0,0
75,todo: remove once all unchecked use has been converted into checked use,1,1,1,1,0,0,0,0,0,0
76,todo: set the names of all threads in both thread pools,1,1,1,1,0,0,0,0,0,0
77,todo: unset the names of all threads in both thread pools,1,1,1,1,0,0,0,0,0,0
78,todo: remove when all headers are streamable,1,1,1,1,0,0,0,0,0,0
79,todo: remove when all headers are streamable,1,1,1,1,0,0,0,0,0,0
80,"suspend sending and handling of mesage garbage collection gossip messages,
fixes bugs #943480 and #938584). Wake up when state has been received",1,1,1,1,0,0,0,0,0,1
81,"resume sending and handling of message garbage collection gossip messages,
fixes bugs #943480 and #938584). Wakes up a previously suspended message garbage
collection protocol (e.g. STABLE)",1,1,1,1,0,0,0,0,0,1
82,"suspend sending and handling of mesage garbage collection gossip messages,
fixes bugs #943480 and #938584). Wake up when state has been received",1,1,1,1,0,0,0,0,0,1
83,"resume sending and handling of message garbage collection gossip messages,
fixes bugs #943480 and #938584). Wakes up a previously suspended message garbage
collection protocol (e.g. STABLE)",1,1,1,1,0,0,0,0,0,1
84,Give up this connection,1,1,0,1,0,1,0,0,0,0
85,Give up this connection,1,1,0,1,0,1,0,0,0,0
86,moved acquisition of suspects lock out of this scope (http://jira.jboss.com/jira/browse/JGRP-554),1,0,1,1,0,0,0,0,0,0
87,moved acquisition of suspects lock out of this scope (http://jira.jboss.com/jira/browse/JGRP-554),1,0,1,1,0,0,0,0,0,0
88,todo: replace with atomic action once we have util.concurrent (JDK 5),1,1,0,1,0,1,0,0,1,0
89,todo: replace with atomic action once we have util.concurrent (JDK 5),1,1,0,1,0,1,0,0,1,0
90,ugly hack,0,0,0,1,0,0,0,0,0,0
91,ugly hack,0,0,0,1,0,0,0,0,0,0
92,"fixed Dec 15 2003 (bela, patch from Joel Dice (dicej)), see explanantion under
bug report #854887",0,0,0,0,0,0,0,0,1,1
93,"fixed Dec 15 2003 (bela, patch from Joel Dice (dicej)), see explanantion under
bug report #854887",0,0,0,0,0,0,0,0,1,1
94,"handle setting of additional data (kludge, will be removed soon)",1,0,0,0,0,0,0,0,0,0
95,"handle setting of additional data (kludge, will be removed soon)",1,0,0,0,0,0,0,0,0,0
96,TODO add maybe a bit more foolproof check later,0,0,0,1,0,1,0,1,0,0
97,"TODO ensure proper thread/socket cleanup when stopping
GossipRouter",0,0,0,1,0,1,0,1,0,0
98,TODO add maybe a bit more foolproof check later,0,0,0,1,0,1,0,1,0,0
99,"TODO ensure proper thread/socket cleanup when stopping
GossipRouter",0,0,0,1,0,1,0,1,0,0
100,"todo: allocate a bigger buffer, copy part of the old buffer into the new one and
then read the remaining bytes from the socket channel",1,1,0,1,0,1,0,0,1,1
101,"todo: allocate a bigger buffer, copy part of the old buffer into the new one and
then read the remaining bytes from the socket channel",1,1,0,1,0,1,0,0,1,1
102,todo: why is this needed ?,0,0,0,0,0,1,0,0,0,0
103,todo: why is this needed ?,0,0,0,0,0,1,0,0,0,0
104,"todo: use pointer to last entry, so we avoid iteration (O(n) cost !)",1,0,0,0,0,0,0,0,0,0
105,todo: use the pool to execute every task !,1,0,0,0,0,0,0,0,0,0
106,"todo: use pointer to last entry, so we avoid iteration (O(n) cost !)",1,0,0,0,0,0,0,0,0,0
107,todo: use the pool to execute every task !,1,0,0,0,0,0,0,0,0,0
108,TODO: do something here maybe?,0,0,0,0,0,0,1,0,0,0
109,TODO: make this localfied,0,1,0,0,0,0,0,0,0,0
110,TODO: make it a handle method instead,0,1,0,0,0,0,0,0,0,0
111,"todo: when JDK 6 is the baseline, convert the TreeMap to a TreeSet or ConcurrentSkipListSet and use ceiling()",1,0,0,0,0,0,0,1,0,0
112,this is probably not necessary,0,0,0,0,0,0,0,1,0,0
113,#NAME?,0,0,0,0,0,1,0,1,1,1
114,"AckSenderWindow.add() is costly as it calls Retransmitter.add() which calls TimeScheduler.schedule(),
which adds the scheduled task to a DelayQueue, which does costly tree rebalancing.
In 2.9 (or 3.0), we'll replace use of ScheduledThreadPoolExecutor in TimeScheduler with
a ConcurrentSkipListMap, which is faster (log(n) access cost for most ops). CSLM requires JDK 1.6
Note that moving the next statement out of the lock scope made for some really ugly code, that's
why this was reverted !",1,1,0,1,0,0,0,0,0,1
115,"needs to be done in the background, to not block if down() would block
maybe optimize in the future: broadcast directly if coord",1,0,0,0,0,1,1,1,0,0
116,todo: change back to 10,0,0,0,0,1,0,0,0,0,0
117,todo: do this in a separate task ?,1,0,0,0,0,1,0,0,0,1
118,"lock / release, create new conn under sock_creation_lock, it can be skipped but then it takes
extra check in conn map and closing the new connection, w/ sock_creation_lock it looks much simpler
(slow path,so not important)",1,0,1,1,1,1,1,1,1,1
119,"lock / release, create new conn under sock_creation_lock, it can be skipped but then it takes
extra check in conn map and closing the new connection, w/ sock_creation_lock it looks much simpler
(slow path,so not important)",1,0,1,1,1,1,1,1,1,1
120,"lock / release, create new conn under sock_creation_lock, it can be skipped but then it takes
extra check in conn map and closing the new connection, w/ sock_creation_lock it looks much simpler
(slow path,so not important)",1,0,1,1,1,1,1,1,1,1
121,"lock / release, create new conn under sock_creation_lock, it can be skipped but then it takes
extra check in conn map and closing the new connection, w/ sock_creation_lock it looks much simpler
(slow path,so not important)",1,0,1,1,1,1,1,1,1,1
122,todo: replace with UNICAST3,1,0,0,0,0,1,0,1,1,1
123,"todo: if MergeView, fetch and reconcile state from coordinator
actually maybe this is best left up to the application ? we just notify them and let the appl handle it ?",1,1,1,1,1,1,0,0,1,1
124,"do a file move, this is much faster and could be considered atomic on most operating systems",0,1,1,1,0,0,0,1,1,1
125,"No-Op to prevent file creations from super.init().
TODO refactor this class and FILE_PING to have a common parent?
would also be nice to remove unwanted configuration properties which where inherited.",0,1,1,1,0,0,0,1,1,1
126,TODO [JGRP-1194] - Revisit implementation of TUNNEL and shared transport,1,1,1,1,1,1,0,1,1,1
127,todo: why is this needed ?,1,1,1,1,1,1,0,1,1,1
128,"TODO remove the copy in JGRP-1989
At this point we have to copy the buffer as TcpConnection hands it over to another thread",0,0,0,0,0,1,0,0,0,0
129,"
NOTE: The following source code is the iHarder.net public domain
Base64 library and is provided here as a convenience.  For updates,
problems, questions, etc. regarding this code, please visit:
http://iharder.sourceforge.net/current/java/base64/
",0,0,1,0,1,0,0,0,0,0
130,Convert option to boolean in way that code likes it.,0,0,1,0,1,0,0,0,0,0
131,"Two ways to do the same thing. Don't know which way I like best.
int outBuff =   ( ( DECODABET[ source[ srcOffset    ] ] << 24 ) >>>  6 )",0,0,1,0,1,0,0,0,0,0
132,"Two ways to do the same thing. Don't know which way I like best.
int outBuff =   ( ( DECODABET[ source[ srcOffset     ] ] << 24 ) >>>  6 )
| ( ( DECODABET[ source[ srcOffset + 1 ] ] << 24 ) >>> 12 )",0,0,1,0,1,0,0,0,0,0
133,"Two ways to do the same thing. Don't know which way I like best.
int outBuff =   ( ( DECODABET[ source[ srcOffset     ] ] << 24 ) >>>  6 )
| ( ( DECODABET[ source[ srcOffset + 1 ] ] << 24 ) >>> 12 )
| ( ( DECODABET[ source[ srcOffset + 2 ] ] << 24 ) >>> 18 )",0,0,1,0,1,0,0,0,0,0
134,"White space, Equals sign or better",0,0,1,0,1,0,0,0,0,0
135,end if: equals sign or better,0,0,1,0,1,0,0,0,0,0
136,"end if: white space, equals sign or better",0,0,1,0,1,0,0,0,0,0
137,"not optimal, this matches *any* of the shared clusters. would be better to return only
responses for matching clusters",0,0,0,0,0,1,0,0,0,0
138,TODO [JGRP-1194] - Revisit implementation of TUNNEL and shared transport,0,0,0,0,0,1,0,0,0,0
139,todo: check if we need to pass it up instead of down !,0,0,1,0,0,0,0,0,0,0
140,"new TCP().setBindAddress(bind_address).setBindPort(7800)
.setDiagnosticsEnabled(true)
.diagEnableUdp(false) // todo: enable when MulticastSocket works
.diagEnableTcp(true),
new TCPPING().initialHosts(Collections.singletonList(new InetSocketAddress(bind_address, 7800))),",0,0,0,0,0,1,0,0,0,0
141,"new TCP().setBindAddress(bind_address).setBindPort(7800)
.setDiagnosticsEnabled(true)
.diagEnableUdp(false) // todo: enable when MulticastSocket works
.diagEnableTcp(true),
new TCPPING().initialHosts(Collections.singletonList(new InetSocketAddress(bind_address, 7800))),",0,0,0,0,0,1,0,0,0,0
142,todo: remove in 4.1 once we've completely switched to collections,1,1,0,1,0,1,1,0,1,1
143,todo: change this in 4.1 to only accept collections,1,1,0,1,0,1,1,0,1,1
144,"message did not originate from FD_ALL layer, but still count as heartbeat
update when data is received too ? maybe a bit costly",1,0,1,1,1,0,0,1,0,0
145,"message did not originate from FD_ALL2 layer, but still count as heartbeat
update when data is received too ? maybe a bit costly",1,0,1,1,1,0,0,1,0,0
146,todo: when we have an IPv4 address in an IPv6 stack -> map it to an IPv6 address,0,0,0,1,0,0,0,0,0,1
147,"this kludge is needed in order to terminate the program gracefully when 'X' is pressed
(otherwise System.in.read() would not terminate)",1,1,1,1,0,1,0,1,1,1
148,@todo if we have SNAPSHOT version should we do something special?,0,0,0,1,0,0,0,0,0,1
149,"dependecy.setGroupid( groupId )
....
MavenArtifact artifact = artifactFactory.createArtifact( dependecy )

so maven artifact factory will be centralized service for creating
repository paths

I am not sure if this is good option but it is something which might be considered",0,0,0,1,0,0,0,0,0,1
150,@todo what shall we do when jar was installed but we failed to install pom?,0,0,0,1,0,0,0,0,0,1
151,"@todo do we need to crate md5 checksums in local repsitory?
I think it would be nice if any local repository could be
and at any moment in time used as remote repository
so content of both repositories should be symetrical",0,0,0,1,0,0,0,0,0,1
152,@todo should we use plexus classes?,0,0,0,1,0,0,0,0,0,1
153,@todo we can use as well file wagon here.,0,0,0,1,0,0,0,0,0,1
154,"@todo this will be duplicated in case of every mojo which implements
deploy goal
this should be pushed into the ArtifactDeployer component",0,0,0,0,1,0,0,0,0,0
155,TODO: validation instead,0,0,0,0,1,0,0,0,0,0
156,TODO: doesn't appear to be called,1,0,0,0,0,0,0,0,0,0
157,TODO: simple failure response,0,0,0,0,1,0,0,0,0,0
158,"TODO: include dependencies marked for distribution under certain formats
TODO: how, might we plugin this into an installer, such as NSIS?
TODO: allow file mode specifications?",0,0,0,0,0,0,0,0,0,1
159,TODO: this needs a cleanup in plexus archiver - use a real typesafe enum,0,0,0,0,0,0,0,0,0,1
160,TODO: this should accept gz and bz2 as well so we can skip over the switch,0,0,0,0,0,0,0,0,0,1
161,TODO: better handling,0,0,0,0,0,0,0,0,0,1
162,TODO: use MavenArchiver for manifest?,0,0,0,0,0,0,0,0,0,1
163,TODO: shouldn't archiver do this?,0,0,0,0,0,0,0,0,0,1
164,TODO: shouldn't archiver do this?,0,0,0,0,0,0,0,0,0,1
165,TODO: shouldn't archiver do this?,0,0,0,0,0,0,0,0,0,1
166,TODO: shouldn't archiver do this?,0,0,0,0,0,0,0,0,0,1
167,TODO: shouldn't archiver do this?,0,0,0,0,0,0,0,0,0,1
168,TODO: shouldn't archiver do this?,0,0,0,0,0,0,0,0,0,1
169,TODO: shouldn't archiver do this?,0,0,0,0,0,0,0,0,0,1
170,TODO: default excludes?,0,0,0,0,0,0,0,0,0,1
171,TODO: Use multiple locale with a loop,0,1,0,0,0,0,0,0,0,1
172,"TODO: In this case, should we rather just replace the existing plugin mapping??",0,0,0,0,0,1,0,0,0,0
173,"TODO: I removed outputDirectory, and shouldn't have. Put it back here.",0,0,1,1,0,1,0,0,0,1
174,TODO: use source roots,0,0,1,1,0,1,0,0,0,1
175,TODO: explicit output directory when it is back,0,0,1,1,0,1,0,0,0,1
176,TODO: not the best solution. Perhaps a mojo tag that causes the plugin manager to populate project reports instead?,1,0,0,0,0,0,0,0,0,0
177,"TODO: include dependencies marked for distribution under certain formats
TODO: how, might we plug this into an installer, such as NSIS?
TODO: allow file mode specifications?",0,0,1,0,0,0,0,1,0,0
178,"TODO: include dependencies marked for distribution under certain formats
TODO: how, might we plug this into an installer, such as NSIS?
TODO: allow file mode specifications?",0,0,1,0,0,0,0,1,0,0
179,TODO: use component roles? Can we do that in a mojo?,0,0,1,0,0,0,0,1,0,0
180,TODO: use component roles? Can we do that in a mojo?,0,0,1,0,0,0,0,1,0,0
181,TODO: cat to file is temporary until the ssh executor is fixed to deal with output,0,0,0,1,0,0,0,0,0,1
182,"$NON-NLS-1$
$NON-NLS-1$
@todo this is the default, find real ejb version from dependencies",0,0,0,0,0,0,0,0,0,1
183,"@todo direct optional artifacts are not included in the list returned by project.getTestArtifacts()
.classpath should include ANY direct dependency, and optional dependencies are required to compile",0,0,0,0,0,0,0,0,0,1
184,"TODO: how can we let the WAR/EJBs plugin hook in and provide this?
TODO: merge in ejb-module, etc.",0,0,0,0,0,0,0,0,1,0
185,"TODO: this is bad - reproducing war plugin defaults, etc!
--> this is where the OGNL out of a plugin would be helpful as we could run package first and
grab stuff from the mojo",0,0,0,0,0,0,0,0,1,0
186,TODO: should derive from web.xml - does IDEA do this if omitted?,0,0,0,0,0,0,0,0,1,0
187,TODO: to FileUtils,0,0,0,0,0,0,0,0,1,0
188,TODO: some xpath may actually be more appropriate here,0,0,0,0,0,0,0,0,1,0
189,TODO: Replace this by FileUtils.getDefaultExcludes() when maven will use plexus-utils-1.2,0,1,1,1,0,0,0,1,1,1
190,"Sort projectInfos and projectReports with the default locale setted
TODO Beautify the output by sorting with each current locale",0,1,1,1,0,0,0,1,1,1
191,"TODO: avoid this hardcoding - the resources dir might be elsewhere. We should really test for duplicate targets, not guess at what source files will be html.
add the site's 'resources' directory to the default exclude list",0,1,1,1,0,0,0,1,1,1
192,"TODO: Be good to generate a module's summary page thats referenced off the
Modules menu item.",0,1,1,1,0,0,0,1,1,1
193,TODO: can we replace these with an XML tag?,0,1,1,1,0,0,0,1,1,1
194,Not running reactor - search for the projects manually,0,1,1,1,0,0,0,1,1,1
195,TODO: we should use a workspace API that would know if it was in the repository already or not,0,1,1,1,0,0,0,1,1,1
196,"TODO: this is a bit crude - proper type, or proper handling as metadata rather than an artifact in 2.1?",0,1,1,1,0,0,0,1,1,1
197,TODO How to handle i18n?,0,1,1,1,0,0,0,1,1,1
198,"TODO: plexus-archiver, if it could do the excludes",0,1,1,1,0,0,0,1,1,1
199,TODO: should derive from web.xml - does IDEA do this if omitted?,0,0,0,0,0,0,0,0,0,1
200,TODO should this break the build?,1,0,1,1,0,0,0,0,1,0
201,"TODO: Ulgy hack below. Changing the directory should be enough for changing the values of all other
properties depending on it!",0,0,0,0,0,1,0,1,0,1
202,"Note: Ideally we should add the new compile source root at the same place as the
one we're removing but there's no API for this...",0,0,0,0,0,1,0,1,0,1
203,TODO: assertions,0,0,0,1,0,0,0,0,0,1
204,TODO: separate release POM generation?,0,0,0,1,0,0,0,0,0,1
205,"TODO: rewrite parent
TODO: rewrite SCM
TODO: rewrite dependencies
TODO: rewrite dependency management
TODO: rewrite extensions
TODO: rewrite plugins, plugin management
TODO: rewrite reporting plugins",0,0,0,1,0,0,0,0,0,1
206,TODO: what about if version is inherited? shouldn't prompt...,0,1,0,1,0,0,0,0,1,1
207,"TODO: rewrite SCM
TODO: rewrite dependency management
TODO: rewrite extensions
TODO: rewrite plugins, plugin management
TODO: rewrite reporting plugins",0,1,0,1,0,0,0,0,1,1
208,"We are only looking at dependencies external to the project - ignore anything found in the reactor as
it's version will be updated
TODO: will it? what if it is a different snapshot version to the one being updated in the reactor?",0,1,0,1,0,0,0,0,1,1
209,"TODO: we need to get a reference to the maven component and use that so this
will work purely in an embedded mode. Not sure how to pass the release setting to the plugin in that
instance though - still via -D, or is there a better way?",1,0,0,0,0,1,0,0,0,0
210,"accept both space and comma, so the old way still work",1,0,0,0,0,1,0,0,0,0
211,TODO [!]: double check if these are the expected behaviours,1,0,0,0,0,1,0,0,0,0
212,"TODO [!]: prep goals not configurable
TODO [!]: resume not configured
TODO: move to abstract?",0,0,0,0,0,0,0,0,1,0
213,"TODO [!]: SCM URL is coming from the store but it probably needs to be read from every project instead
TODO [!]: prepare release mojo needs to set this correct to either connection or developerConnection as appropriate - new version doesn't handle it",0,0,0,0,0,0,0,0,1,0
214,"accept both space and comma, so the old way still work",0,0,0,0,0,0,0,0,1,0
215,To change body of implemented methods use File | Settings | File Templates. TODO [!],1,0,0,0,0,1,0,0,0,0
216,To change body of implemented methods use File | Settings | File Templates. TODO [!],1,0,0,0,0,1,0,0,0,0
217,"If our dependency specifies an explicit released version, do NOT update
it to the latest released version.  If we depend on a SNAPSHOT that is
being released, we update the version to reflect the newly released version.
TODO Cleaner way to determine snapshot?",1,0,0,0,0,1,0,0,0,0
218,"----------------------------------------------------------------------
We only care about dependencies that we are not processing as part
of the release. Projects in the reactor will be dealt with so we
don't need to worry about them here. We are strictly looking at
dependencies that are external to this project.
----------------------------------------------------------------------",1,0,0,0,0,1,0,0,0,0
219,"Really each of the scm providers should support something which returns the supported
characters & lengths supported in tag names.  For now, we'll just assume that CVS is the
only one with the problem with periods.",1,0,0,0,0,1,0,0,0,0
220,"temporary hack to add namespace declaration, not supported by modello/MavenXpp3Writer
MavenXpp3Writer doesn't support writing the xsd declaration, do it manually",1,0,0,0,0,1,0,0,0,0
221,TODO [!] check that callers split parameters that could formerly be comma-separated,1,0,0,0,0,1,0,0,0,0
222,TODO: do these still stream?,1,0,0,0,0,1,0,0,0,0
223,"/* hack to avoid problems with sources encoding, this string contains accentuated \aeiou\"" in UTF-8 */""",0,0,0,0,0,0,0,1,0,0
224,"}
TODO [!]",0,0,0,0,0,0,0,1,0,0
225,"Later, it would be a good idea to introduce a proper workflow tool so that the release can be made up of a
more flexible set of steps.",0,0,0,0,0,0,0,1,0,0
226,TODO: rollback?,0,0,0,0,0,0,0,1,0,0
227,"TODO [!]: prep goals not configurable
TODO [!]: resume not configured",0,0,0,0,0,0,0,1,0,0
228,TODO [!]: fix logging,0,0,0,0,0,0,0,1,0,0
229,TODO [!]: fix logging,0,0,0,0,0,0,0,1,0,0
230,TODO: includes and excludes,0,0,0,1,0,0,0,0,1,1
231,TODO: includes and excludes,0,0,0,1,0,0,0,0,1,1
232,TODO: this is not mediating dependencies versions - first wins. Is there a way we can do that properly from here?,0,0,0,1,0,0,0,0,1,1
233,"TODO: Is there a better way to get the artifact if it is not yet installed in the repo?
reactorProject.getArtifact().getFile() is returning null
tried also the project.getArtifact().getFile() but returning same result",0,0,0,1,0,0,0,0,1,1
234,TODO: svn utils should take care of prepending this,0,0,1,0,0,0,0,1,1,0
235,TODO: svn utils should take care of prepending this,0,0,1,0,0,0,0,1,1,0
236,TODO: svn utils should take care of prepending this,0,0,1,0,0,0,0,0,0,0
237,TODO: svn utils should take care of prepending this,0,0,1,0,0,0,0,0,0,0
238,"@todo temporary disabled, since it randomically fails due to a different order for dependencies in classpath and
wtpmodules. This is not a problem, since order could be ignored in this test, but we should rewrite the file-comparing
step which at the moment just does line by line comparison
public void testProject7()
throws Exception",0,0,0,0,0,0,0,1,0,0
239,"@todo temporary disabled, since it randomically fails due to a different order for dependencies in classpath and
wtpmodules. This is not a problem, since order could be ignored in this test, but we should rewrite the file-comparing
step which at the moment just does line by line comparison
public void testProject7()
throws Exception",0,0,0,0,0,0,0,1,0,0
240,"TODO: use compiler setting
TODO: use compiler setting
TODO: use compiler setting",0,0,1,0,0,0,0,1,0,0
241,TODO: property?,0,0,1,0,0,0,0,1,0,0
242,TODO: property?,0,0,1,0,0,0,0,1,0,0
243,"TODO: verify there is a test for this method.
TODO: create test for striping versions too",0,0,0,0,0,0,0,1,0,0
244,"TODO: I'd really prefer to rewrite MavenArchiver as either a
separate manifest creation utility (and to
create an include pom.properties etc into another archiver), or
an implementation of an archiver
(the first is preferable).",0,0,0,1,0,0,0,1,0,0
245,TODO: what about wildcards? Just specifying groups? versions?,0,0,0,0,0,1,0,1,0,0
246,TODO: what about wildcards? Just specifying groups? versions?,0,0,0,0,0,1,0,1,0,0
247,"TODO: Version ranges, wildcards, ...?",0,0,0,0,0,1,0,1,0,0
248,"FIXME: Once Maven (all supported versions in the wild) are using plexus-utils >= 1.3,
we should remove this.",0,1,0,0,0,0,0,0,1,0
249,TODO: not sure about location of dictionary - it's usually just 1 argument.,1,1,0,0,0,0,0,0,0,0
250,TODO: get proper siteDirectory from site configuration of the project this relates to,0,0,0,1,0,0,0,0,0,1
251,"TODO: add mojo param 'addVersionToProjectName' and if set append
-version to the project name.",0,0,0,0,0,1,0,0,0,1
252,"TODO: add mojo param 'addVersionToProjectName' and if set append
-version to the project name.",0,0,0,0,0,1,0,0,0,1
253,"XXX TODO: change the buildCommands param to match
<buildCommands>
<buildCommand>
<name>....</name>
<arguments>
<somekey>somevalue</somekey>
</arguments>",0,0,0,0,0,1,0,0,0,1
254,TODO: refactor this to use the filters.,0,0,0,0,0,1,0,1,1,0
255,TODO:refactor this,0,0,0,0,0,1,0,1,1,0
256,"@todo this is the default, find real ejb version from dependencies",0,1,0,1,0,0,0,0,1,1
257,"@todo temporary disabled, since it randomically fails due to a different order for dependencies in classpath and
wtpmodules. This is not a problem, since order could be ignored in this test, but we should rewrite the file-comparing
step which at the moment just does line by line comparison
public void testProject07()
throws Exception",0,1,0,1,0,0,0,0,1,1
258,"@todo temporary disabled, since it randomically fails due to a different order for dependencies in classpath and
wtpmodules. This is not a problem, since order could be ignored in this test, but we should rewrite the file-comparing
step which at the moment just does line by line comparison
public void testProject07()
throws Exception",0,1,0,1,0,0,0,0,1,1
